actual_price,discounted_price,discount_percentage,count
₹499,89.0,82%,1
"₹1,190",616.0,48%,1
"₹1,190",849.0,29%,1
₹499,100.0,80%,1
"₹1,199",353.0,71%,1
₹499,119.0,76%,1
₹499,139.0,72%,1
"₹1,199",681.0,43%,1
₹499,175.0,65%,1
"₹1,199",799.0,33%,1
"₹1,199",899.0,25%,1
₹499,185.0,63%,1
₹499,195.0,61%,1
₹499,197.0,61%,1
"₹1,200",489.0,59%,1
₹499,205.0,59%,1
"₹1,200",498.0,59%,1
₹499,213.0,57%,1
₹499,215.0,57%,1
₹499,219.0,56%,1
₹499,225.0,55%,1
₹499,229.0,54%,1
₹499,230.0,54%,1
₹499,244.0,51%,1
"₹1,200",499.0,58%,1
"₹1,230",799.0,35%,1
₹499,287.0,42%,1
₹499,292.0,41%,1
"₹1,245",649.0,48%,1
₹499,298.0,40%,1
"₹1,245",749.0,40%,1
₹499,308.0,38%,1
₹499,330.0,34%,1
₹499,395.0,21%,1
₹499,399.0,20%,1
₹499,499.0,0%,1
"₹5,000",1969.0,61%,1
"₹5,000",2499.0,50%,1
"₹5,000",2699.0,46%,1
"₹5,156",3657.66,29%,1
"₹5,190",3569.0,31%,1
"₹5,295",3180.0,40%,1
"₹5,295",3229.0,39%,1
"₹5,299",3799.0,28%,1
"₹5,490",1890.0,66%,1
"₹5,495",3685.0,33%,1
"₹5,499",1199.0,78%,1
"₹5,499",1399.0,75%,1
"₹5,499",1889.0,66%,1
"₹5,500",2899.0,47%,1
"₹5,550",2088.0,62%,1
"₹5,734",4449.0,22%,1
"₹5,795",3499.0,40%,1
"₹5,795",4799.0,17%,1
"₹5,799",3290.0,43%,1
"₹5,890",2599.0,56%,1
"₹5,995",4280.0,29%,1
"₹5,999",1099.0,82%,1
"₹5,999",1199.0,80%,1
"₹1,249",899.0,28%,1
"₹5,999",1399.0,77%,1
"₹5,999",2025.0,66%,1
"₹1,249",1055.0,16%,1
"₹1,282",998.06,22%,1
"₹1,290",449.0,65%,1
"₹5,999",2999.0,50%,1
"₹5,999",3041.67,49%,1
"₹5,999",3199.0,47%,1
"₹5,999",4499.0,25%,1
₹50,50.0,0%,1
"₹50,000",24499.0,51%,1
"₹50,999",29999.0,41%,1
₹500,179.0,64%,1
₹500,253.0,49%,1
"₹51,990",24990.0,52%,1
₹510,335.0,34%,1
"₹52,900",30990.0,41%,1
₹535,535.0,0%,1
"₹54,990",32990.0,40%,1
₹549,128.31,77%,1
₹549,139.0,75%,1
₹549,399.0,27%,1
₹549,549.0,0%,1
₹550,299.0,46%,1
₹550,522.0,5%,1
"₹56,790",32990.0,42%,1
₹59,59.0,0%,1
"₹59,890",37247.0,38%,1
"₹59,900",14400.0,76%,1
"₹59,900",27900.0,53%,1
"₹59,999",42999.0,28%,1
₹590,289.0,51%,1
₹595,159.0,73%,1
₹595,229.0,62%,1
₹595,299.0,50%,1
₹599,89.0,85%,1
₹599,129.0,78%,1
₹599,150.0,75%,1
₹599,182.0,70%,1
₹599,185.0,69%,1
₹599,199.0,67%,1
₹599,204.0,66%,1
₹599,235.0,61%,1
₹599,239.0,60%,1
"₹1,295",587.0,55%,1
